"","Site","Software","Keypoint Image Scale","Depth Map Quality","Filtering Mode","Alt (m)","Speed (m/s)","Forward Overlap","Side Overlap","Photo Count","Ortho Size (MB)","PC Size (MB)","Total Generation Time (min)","PC Total Number","X Error (m)","Y Error (m)","Z Error (m)","Total Error (m)","Initial Proc. Time (min)","Point Cloud Densification (min)","Ortho Generation (min)"
"154","Kaibab_high","Pix4D","Double","Half","High",97,3,90,90,132,NA,288.217,43.78,44835767,0.176,"0.17799999999999999",0.284,NA,4.82,38.96,33.22
"155","Kaibab_high","Pix4D","Double","Half","Low",97,3,90,90,132,NA,22.514,10.94,3431954,0.176,"0.17799999999999999",0.284,NA,3.59,7.35,18.7
"156","Kaibab_high","Pix4D","Double","Half","Optimal",97,3,90,90,132,NA,82.724,31.08,12664468,0.176,"0.17799999999999999",0.284,NA,12.96,18.12,22.6
"157","Kaibab_high","Pix4D","Double","Original","High",97,3,90,90,132,NA,1260.533,351.76,195645465,0.176,"0.17799999999999999",0.284,NA,3.43,348.33,338.95
"158","Kaibab_high","Pix4D","Double","Original","Low",97,3,90,90,132,NA,92.448,29.31,14175242,0.176,"0.17799999999999999",0.284,NA,9.27,20.04,39.17
"159","Kaibab_high","Pix4D","Double","Original","Optimal",97,3,90,90,132,NA,321.721,113.34,50088197,0.176,"0.17799999999999999",0.284,NA,17.12,96.22,130
"160","Kaibab_high","Pix4D","Double","Quarter","High",97,3,90,90,132,NA,74.845,34.9,11445023,0.176,"0.17799999999999999",0.284,NA,17.85,17.05,36.25
"161","Kaibab_high","Pix4D","Double","Quarter","Low",97,3,90,90,132,NA,5.592,6.55,842604,0.176,"0.17799999999999999",0.284,NA,4.5,2.05,10.65
"162","Kaibab_high","Pix4D","Double","Quarter","Optimal",97,3,90,90,132,NA,20.821,5.95,3168989,0.176,"0.17799999999999999",0.284,NA,2.91,3.04,10.59
"163","Kaibab_high","Pix4D","Eighth","Eighth","High",97,3,90,90,132,NA,15.223,3.82,2311397,0.18,"0.17599999999999999",0.272,NA,0.54,3.28,15.96
"164","Kaibab_high","Pix4D","Eighth","Eighth","Low",97,3,90,90,132,NA,0.961,2.1,141499,0.18,"0.17599999999999999",0.272,NA,0.67,1.43,14.96
"165","Kaibab_high","Pix4D","Eighth","Eighth","Optimal",97,3,90,90,132,NA,4.102,2.64,615062,0.18,"0.17599999999999999",0.272,NA,0.68,1.96,15.5
"166","Kaibab_high","Pix4D","Eighth","Half","High",97,3,90,90,132,NA,245.544,56.64,38096729,0.18,"0.17599999999999999",0.272,NA,0.68,55.96,41.48
