"","Site","Software","Keypoint Image Scale","Depth Map Quality","Filtering Mode","Alt (m)","Speed (m/s)","Forward Overlap","Side Overlap","Photo Count","Ortho Size (MB)","PC Size (MB)","Total Generation Time (min)","PC Total Number","X Error (m)","Y Error (m)","Z Error (m)","Total Error (m)","Initial Proc. Time (min)","Point Cloud Densification (min)","Ortho Generation (min)"
"415","SQ09-02","Pix4D","Half","Eighth","High",80,4,90,85,157,NA,19.997,8.83,3132363,0.085,"8.5999999999999993E-2",0.137,NA,4.6,4.23,16.17
"416","SQ09-02","Pix4D","Half","Eighth","Low",80,4,90,85,157,NA,1.562,4.48,237020,0.085,"8.5999999999999993E-2",0.137,NA,3.48,1,16.2
"417","SQ09-02","Pix4D","Half","Eighth","Optimal",80,4,90,85,157,NA,5.635,6.64,872997,0.085,"8.5999999999999993E-2",0.137,NA,4.14,2.5,16.3
"418","SQ09-02","Pix4D","Half","Half","High",80,4,90,85,157,NA,343.58,59.8,55164690,0.085,"8.5999999999999993E-2",0.137,NA,3.32,56.48,30.04
"419","SQ09-02","Pix4D","Half","Half","Low",80,4,90,85,157,NA,27.018,11.32,4237961,0.085,"8.5999999999999993E-2",0.137,NA,5.1,6.22,15.4
"420","SQ09-02","Pix4D","Half","Half","Optimal",80,4,90,85,157,NA,99.711,19.52,15697392,0.085,"8.5999999999999993E-2",0.137,NA,3.2,16.32,15.25
"421","SQ09-02","Pix4D","Half","Original","High",80,4,90,85,157,NA,1588.519,263.09,255894038,0.085,"8.5999999999999993E-2",0.137,NA,3.32,259.77,41.1
"422","SQ09-02","Pix4D","Half","Original","Low",80,4,90,85,157,NA,119.205,27.12,18805691,0.085,"8.5999999999999993E-2",0.137,NA,3.52,23.6,20
"423","SQ09-02","Pix4D","Half","Original","Optimal",80,4,90,85,157,NA,420.471,68.19,66500865,0.085,"8.5999999999999993E-2",0.137,NA,3.96,64.23,27.55
"424","SQ09-02","Pix4D","Half","Quarter","High",80,4,90,85,157,NA,81.08,19.74,12756568,0.085,"8.5999999999999993E-2",0.137,NA,4.59,15.15,17.09
"425","SQ09-02","Pix4D","Half","Quarter","Low",80,4,90,85,157,NA,6.209,5.89,963115,0.085,"8.5999999999999993E-2",0.137,NA,3.43,2.46,16.48
"426","SQ09-02","Pix4D","Half","Quarter","Optimal",80,4,90,85,157,NA,22.698,8.84,3555222,0.085,"8.5999999999999993E-2",0.137,NA,3.69,5.15,18.07
"427","SQ09-02","Pix4D","Original","Eighth","High",80,4,90,85,157,NA,20.108,7.87,3151848,0.101,"0.10199999999999999",0.163,NA,4.02,3.85,16.59
"428","SQ09-02","Pix4D","Original","Eighth","Low",80,4,90,85,157,NA,1.602,6.02,243407,0.101,"0.10199999999999999",0.163,NA,4.17,1.85,17.4
"429","SQ09-02","Pix4D","Original","Eighth","Optimal",80,4,90,85,157,NA,5.732,6.38,889021,0.101,"0.10199999999999999",0.163,NA,3.83,2.55,16.14
"430","SQ09-02","Pix4D","Original","Half","High",80,4,90,85,157,NA,339.66,61.23,54560619,0.101,"0.10199999999999999",0.163,NA,4.05,57.18,31.02
"431","SQ09-02","Pix4D","Original","Half","Low",80,4,90,85,157,NA,26.776,11.15,4203383,0.101,"0.10199999999999999",0.163,NA,4.98,6.17,16.67
"432","SQ09-02","Pix4D","Original","Half","Optimal",80,4,90,85,157,NA,97.991,23.85,15435982,0.101,"0.10199999999999999",0.163,NA,5.33,18.52,19.91
"433","SQ09-02","Pix4D","Original","Original","High",80,4,90,85,157,NA,1531.325,322.82,253623364,0.101,"0.10199999999999999",0.163,NA,5.59,317.23,53.98
"434","SQ09-02","Pix4D","Original","Original","Low",80,4,90,85,157,NA,116.575,31.42,18401711,0.101,"0.10199999999999999",0.163,NA,6.77,24.65,20.85
"435","SQ09-02","Pix4D","Original","Original","Optimal",80,4,90,85,157,NA,408.247,87.6,65651132,0.101,"0.10199999999999999",0.163,NA,4.14,83.46,22.29
"436","SQ09-02","Pix4D","Original","Quarter","High",80,4,90,85,157,NA,81.052,17.66,12757746,0.101,"0.10199999999999999",0.163,NA,4.68,12.98,19.35
"437","SQ09-02","Pix4D","Original","Quarter","Low",80,4,90,85,157,NA,6.309,7.67,979744,0.101,"0.10199999999999999",0.163,NA,5.05,2.62,16.57
"438","SQ09-02","Pix4D","Original","Quarter","Optimal",80,4,90,85,157,NA,22.963,8.43,3598541,0.101,"0.10199999999999999",0.137,NA,4.23,4.2,17.29
"439","SQ09-02","Pix4D","Quarter","Eighth","High",80,4,90,85,157,NA,19.218,5.62,3012490,0.1,"0.1",0.159,NA,2.07,3.55,12.52
"440","SQ09-02","Pix4D","Quarter","Eighth","Low",80,4,90,85,157,NA,1.388,7.73,210282,0.1,"0.1",0.159,NA,5.93,1.8,19.4
"441","SQ09-02","Pix4D","Quarter","Eighth","Optimal",80,4,90,85,157,NA,5.206,3.92,806135,0.1,"0.1",0.159,NA,1.8,2.12,16.33
"442","SQ09-02","Pix4D","Quarter","Half","High",80,4,90,85,157,NA,350.066,51.81,56238184,0.1,"0.1",0.159,NA,1.64,50.17,28.85
"443","SQ09-02","Pix4D","Quarter","Half","Low",80,4,90,85,157,NA,27.133,9.11,4259320,0.1,"0.1",0.159,NA,2.52,6.59,17.05
"444","SQ09-02","Pix4D","Quarter","Half","Optimal",80,4,90,85,157,NA,101.416,18.86,15980324,0.1,"0.1",0.159,NA,1.71,17.15,17.46
"445","SQ09-02","Pix4D","Quarter","Original","High",80,4,90,85,157,NA,1536.014,276.02,254662849,0.1,"0.1",0.159,NA,1.57,274.45,48.25
"446","SQ09-02","Pix4D","Quarter","Original","Low",80,4,90,85,157,NA,120.076,24.59,18966497,0.1,"0.1",0.159,NA,1.71,22.88,14.57
"447","SQ09-02","Pix4D","Quarter","Original","Optimal",80,4,90,85,157,NA,413.81,90.65,66589478,0.1,"0.1",0.159,NA,1.83,88.82,31.29
"448","SQ09-02","Pix4D","Quarter","Quarter","High",80,4,90,85,157,NA,80.119,13.1,12613909,0.1,"0.1",0.159,NA,1.6,11.5,16.3
"449","SQ09-02","Pix4D","Quarter","Quarter","Low",80,4,90,85,157,NA,5.784,4.26,897073,0.1,"0.1",0.159,NA,1.71,2.55,17.2
"450","SQ09-02","Pix4D","Quarter","Quarter","Optimal",80,4,90,85,157,NA,22.18,6.56,3475214,0.1,"0.1",0.159,NA,1.6,4.96,16.4
"451","WA85-02","Pix4D","Double","Eighth","High",80,4,90,85,144,NA,18.84,9.57,2904738,0.182,"0.182",0.291,NA,6.37,3.2,15.46
"452","WA85-02","Pix4D","Double","Eighth","Low",80,4,90,85,144,NA,1.376,5.1,204995,0.182,"0.182",0.291,NA,3.35,1.75,13.97
"453","WA85-02","Pix4D","Double","Eighth","Optimal",80,4,90,85,144,NA,513,4.87,782758,0.182,"0.182",0.291,NA,2.75,2.12,15.59
"454","WA85-02","Pix4D","Double","Half","High",80,4,90,85,144,NA,349.294,32.48,55419309,0.182,"0.182",0.291,NA,2.57,29.91,21.52
"455","WA85-02","Pix4D","Double","Half","Low",80,4,90,85,144,NA,25.643,5.99,3961678,0.182,"0.182",0.291,NA,2.32,3.67,12.63
"456","WA85-02","Pix4D","Double","Half","Optimal",80,4,90,85,144,NA,98.503,18.86,15263081,0.182,"0.182",0.291,NA,3.57,15.29,18.41
"457","WA85-02","Pix4D","Double","Original","High",80,4,90,85,144,NA,1354.525,148.94,216041639,0.182,"0.182",0.291,NA,2.35,146.59,38.71
"458","WA85-02","Pix4D","Double","Original","Low",80,4,90,85,144,NA,110.784,18.66,17182616,0.182,"0.182",0.291,NA,2.35,16.31,14.57
"459","WA85-02","Pix4D","Double","Original","Optimal",80,4,90,85,144,NA,936.511,52.77,62935878,0.182,"0.182",0.291,NA,2.62,50.15,31.73
"460","WA85-02","Pix4D","Double","Quarter","High",80,4,90,85,144,NA,81.866,11.03,12683098,0.182,"0.182",0.291,NA,2.91,8.12,14.17
"461","WA85-02","Pix4D","Double","Quarter","Low",80,4,90,85,144,NA,5.784,5.1,884323,0.182,"0.182",0.291,NA,3.2,1.9,12.43
"462","WA85-02","Pix4D","Double","Quarter","Optimal",80,4,90,85,144,NA,22.103,6.06,3410529,0.182,"0.182",0.291,NA,2.75,3.31,12.6
"463","WA85-02","Pix4D","Eighth","Eighth","High",80,4,90,85,144,NA,15.076,3.2,2337516,0.276,"0.27100000000000002",0.423,NA,0.85,2.35,14.07
"464","WA85-02","Pix4D","Eighth","Eighth","Low",80,4,90,85,144,NA,1.032,1.66,153884,0.276,"0.27100000000000002",0.423,NA,0.48,1.18,11.65
"465","WA85-02","Pix4D","Eighth","Eighth","Optimal",80,4,90,85,144,NA,4.029,2.35,615916,0.276,"0.27100000000000002",0.423,NA,0.62,1.73,9.82
"466","WA85-02","Pix4D","Eighth","Half","High",80,4,90,85,144,NA,291.689,37.53,46601387,0.276,"0.27100000000000002",0.423,NA,0.48,37.05,18.55
"467","WA85-02","Pix4D","Eighth","Half","Low",80,4,90,85,144,NA,22.832,3.3,3547029,0.276,"0.27100000000000002",0.423,NA,0.5,2.8,12.02
"468","WA85-02","Pix4D","Eighth","Half","Optimal",80,4,90,85,144,NA,84.898,9.24,13216316,0.276,"0.27100000000000002",0.423,NA,0.57,8.67,14.85
"469","WA85-02","Pix4D","Eighth","Original","High",80,4,90,85,144,NA,1123.949,119.07,185002357,0.276,"0.27100000000000002",0.423,NA,0.59,118.48,48.82
"470","WA85-02","Pix4D","Eighth","Original","Low",80,4,90,85,144,NA,93.048,12.55,14512742,0.276,"0.27100000000000002",0.423,NA,0.64,11.91,15.52
"471","WA85-02","Pix4D","Eighth","Original","Optimal",80,4,90,85,144,NA,326.232,36.33,52013470,0.276,"0.27100000000000002",0.423,NA,0.6,35.73,19.91
"472","WA85-02","Pix4D","Eighth","Quarter","High",80,4,90,85,144,NA,71.177,6.93,11079490,0.276,"0.27100000000000002",0.423,NA,0.5,6.43,13.93
"473","WA85-02","Pix4D","Eighth","Quarter","Low",80,4,90,85,144,NA,4.966,2.12,762419,0.276,"0.27100000000000002",0.426,NA,0.5,1.62,13
"474","WA85-02","Pix4D","Eighth","Quarter","Optimal",80,4,90,85,144,NA,19.402,3.45,3008490,0.276,"0.27100000000000002",0.423,NA,0.5,2.95,12.05
"475","WA85-02","Pix4D","Half","Eighth","High",80,4,90,85,144,NA,19.784,5.81,3049673,0.122,"0.122",0.195,NA,3.22,2.59,13.8
"476","WA85-02","Pix4D","Half","Eighth","Low",80,4,90,85,144,NA,1.486,4.36,221325,0.122,"0.122",0.195,NA,2.57,1.79,18.04
"477","WA85-02","Pix4D","Half","Eighth","Optimal",80,4,90,85,144,NA,5.407,3.71,824975,0.122,"0.122",0.195,NA,2.12,1.59,13.29
"478","WA85-02","Pix4D","Half","Half","High",80,4,90,85,144,NA,381.862,42.88,60481238,0.122,"0.122",0.195,NA,3.02,39.86,21.93
"479","WA85-02","Pix4D","Half","Half","Low",80,4,90,85,144,NA,28.827,6.95,4446978,0.122,"0.122",0.195,NA,2.1,4.85,14.85
"480","WA85-02","Pix4D","Half","Half","Optimal",80,4,90,85,144,NA,109.868,17.61,16999583,0.122,"0.122",0.195,NA,2.07,15.54,18.98
"481","WA85-02","Pix4D","Half","Original","High",80,4,90,85,144,NA,1450.888,188.65,237342319,0.122,"0.122",0.195,NA,2.27,186.38,50.46
"482","WA85-02","Pix4D","Half","Original","Low",80,4,90,85,144,NA,121.784,19.53,18866071,0.122,"0.122",0.195,NA,2.75,16.78,16.57
"483","WA85-02","Pix4D","Half","Original","Optimal",80,4,90,85,144,NA,427.417,58.13,68211566,0.122,"0.122",0.195,NA,2.8,55.33,22.38
"484","WA85-02","Pix4D","Half","Quarter","High",80,4,90,85,144,NA,86.893,11.52,13444060,0.122,"0.122",0.195,NA,2.17,9.35,16.64
"485","WA85-02","Pix4D","Half","Quarter","Low",80,4,90,85,144,NA,6.286,5.19,960616,0.122,"0.122",0.195,NA,2.95,2.24,14.75
"486","WA85-02","Pix4D","Half","Quarter","Optimal",80,4,90,85,144,NA,23.794,6.93,3667191,0.122,"0.122",0.195,NA,2.73,4.2,13.6
"487","WA85-02","Pix4D","Original","Eighth","High",80,4,90,85,144,NA,19.681,5.48,3033449,0.141,"0.14199999999999999",0.227,NA,2.5,2.98,17.85
"488","WA85-02","Pix4D","Original","Eighth","Low",80,4,90,85,144,NA,1.485,3.78,221257,0.141,"0.14199999999999999",0.227,NA,2.43,1.35,13.42
"489","WA85-02","Pix4D","Original","Eighth","Optimal",80,4,90,85,144,NA,5.416,5.58,826195,0.141,"0.14199999999999999",0.227,NA,3.8,1.78,13.15
"490","WA85-02","Pix4D","Original","Half","High",80,4,90,85,144,NA,364.502,44.44,57753962,0.141,"0.14199999999999999",0.227,NA,2.37,42.07,31.48
"491","WA85-02","Pix4D","Original","Half","Low",80,4,90,85,144,NA,27.193,7.93,4196334,0.141,"0.14199999999999999",0.227,NA,2.98,4.95,14.1
"492","WA85-02","Pix4D","Original","Half","Optimal",80,4,90,85,144,NA,103.601,13.92,16034488,0.141,"0.14199999999999999",0.227,NA,2.38,11.54,17.37
"493","WA85-02","Pix4D","Original","Original","High",80,4,90,85,144,NA,1472.413,175.19,240836745,0.141,"0.14199999999999999",0.227,NA,2.46,172.73,54.37
"494","WA85-02","Pix4D","Original","Original","Low",80,4,90,85,144,NA,116.682,19.84,18076963,0.141,"0.14199999999999999",0.227,NA,2.55,17.29,17.17
"495","WA85-02","Pix4D","Original","Original","Optimal",80,4,90,85,144,NA,417.487,51.95,66157733,0.141,"0.14199999999999999",0.227,NA,2.8,49.15,25.9
"496","WA85-02","Pix4D","Original","Quarter","High",80,4,90,85,144,NA,85.317,9.81,13206493,0.141,"0.14199999999999999",0.227,NA,2.88,6.93,12.43
"497","WA85-02","Pix4D","Original","Quarter","Low",80,4,90,85,144,NA,6.129,5.23,936885,0.141,"0.14199999999999999",0.227,NA,2.96,2.27,14.07
"498","WA85-02","Pix4D","Original","Quarter","Optimal",80,4,90,85,144,NA,23.221,6.97,3580512,0.141,"0.14199999999999999",0.227,NA,2.95,4.02,15.35
"499","WA85-02","Pix4D","Quarter","Eighth","High",80,4,90,85,144,NA,18.269,4.77,2818358,0.149,"0.14899999999999999",0.238,NA,1.79,2.98,20.35
"500","WA85-02","Pix4D","Quarter","Eighth","Low",80,4,90,85,144,NA,1.267,3.17,188526,0.149,"0.14899999999999999",0.238,NA,1.52,1.65,16.27
"501","WA85-02","Pix4D","Quarter","Eighth","Optimal",80,4,90,85,144,NA,4.822,3.42,735345,0.149,"0.14899999999999999",0.238,NA,1.57,1.85,16.6
"502","WA85-02","Pix4D","Quarter","Half","High",80,4,90,85,144,NA,367.279,40.34,58305903,0.149,"0.14899999999999999",0.238,NA,2.27,38.07,30.14
"503","WA85-02","Pix4D","Quarter","Half","Low",80,4,90,85,144,NA,27.946,5.34,4319068,0.149,"0.14899999999999999",0.238,NA,1.38,3.96,10.9
"504","WA85-02","Pix4D","Quarter","Half","Optimal",80,4,90,85,144,NA,106.202,14.48,16465381,0.149,"0.14899999999999999",0.238,NA,1.24,13.24,18.71
"505","WA85-02","Pix4D","Quarter","Original","High",80,4,90,85,144,NA,1478.963,234.13,242748485,0.149,"0.14899999999999999",0.238,NA,1.33,232.8,51.09
"506","WA85-02","Pix4D","Quarter","Original","Low",80,4,90,85,144,NA,117.126,19.44,18176969,0.149,"0.14899999999999999",0.238,NA,1.42,18.02,17.52
"507","WA85-02","Pix4D","Quarter","Original","Optimal",80,4,90,85,144,NA,407.278,53.2,64709191,0.149,"0.14899999999999999",0.238,NA,1.2,52,22.33
"508","WA85-02","Pix4D","Quarter","Quarter","High",80,4,90,85,144,NA,82.994,8.9,12853349,0.149,"0.14899999999999999",0.238,NA,1.2,7.7,15.9
"509","WA85-02","Pix4D","Quarter","Quarter","Low",80,4,90,85,144,NA,5.704,2.75,871411,0.149,"0.14899999999999999",0.238,NA,1.15,1.6,13.83
"510","WA85-02","Pix4D","Quarter","Quarter","Optimal",80,4,90,85,144,NA,22.403,4.1,3454756,0.149,"0.14899999999999999",0.238,NA,1.15,2.95,13.77
